Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
JUL,2020,Q3,District 3,Alicante Street,501549,Residential,"Alicante St, Dist. 3",275.0,286.0,275.0,286.0,11,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500750,Residential,"Alicante St, Dist. 2",3077.0,3086.0,3077.0,3086.0,9,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500990,Residential,"Alicante St, Dist. 4",592.0,619.0,592.0,619.0,27,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500505,Residential,"Alicante St, Dist. 2",,17.0,17.0,17.0,0,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,501542,Residential,"Alicante St, Dist. 1",3369.0,3401.0,3369.0,3401.0,32,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500431,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,500263,Commercial,"Alicante St, Dist. 2",5402.0,5416.0,5402.0,5416.0,14,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501240,Residential,"Alicante St, Dist. 4",192.0,220.0,192.0,220.0,28,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500484,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 4,Alicante Street,500739,Residential,"Alicante St, Dist. 4",1971.0,1994.0,1971.0,1994.0,23,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500544,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Unknown
JUL,2020,Q3,District 3,Alicante Street,500187,Residential,"Alicante St, Dist. 3",3218.0,3219.0,3218.0,3219.0,1,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,501447,Residential,"Alicante St, Dist. 3",275.0,286.0,275.0,286.0,11,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501453,Residential,"Alicante St, Dist. 4",206.0,211.0,206.0,211.0,5,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501317,Residential,"Alicante St, Dist. 4",629.0,638.0,629.0,638.0,9,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501280,Residential,"Alicante St, Dist. 2",497.0,507.0,497.0,507.0,10,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500248,Residential,"Alicante St, Dist. 2",6838.0,6867.0,6838.0,6867.0,29,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501028,Residential,"Alicante St, Dist. 4",2049.0,2082.0,2049.0,2082.0,33,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501437,Commercial,"Alicante St, Dist. 2",1581.0,1625.0,1581.0,1625.0,44,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500433,Residential,"Alicante St, Dist. 2",471.0,502.0,471.0,502.0,31,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500260,Residential,"Alicante St, Dist. 2",1051.0,1054.0,1051.0,1054.0,3,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,501663,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Alicante Street,500185,Residential,"Alicante St, Dist. 3",1539.0,1545.0,1539.0,1545.0,6,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500169,Residential,"Alicante St, Dist. 4",3214.0,3218.0,3214.0,3218.0,4,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,501232,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Defect
JUL,2020,Q3,District 2,Alicante Street,500479,Residential,"Alicante St, Dist. 2",167.0,213.0,167.0,213.0,46,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500009,Residential,"Alicante St, Dist. 4",2048.0,2050.0,2048.0,2050.0,2,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500472,Commercial,"Alicante St, Dist. 4",886.0,897.0,886.0,897.0,11,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,501393,Commercial,"Alicante St, Dist. 3",696.0,716.0,696.0,716.0,20,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500094,Residential,"Alicante St, Dist. 4",2773.0,2787.0,2773.0,2787.0,14,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,501020,Commercial,"Alicante St, Dist. 3",2049.0,2054.0,2049.0,2054.0,5,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,500692,Residential,"Alicante St, Dist. 1",2621.0,2685.0,2621.0,2685.0,64,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500585,Residential,"Alicante St, Dist. 2",423.0,441.0,423.0,441.0,18,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500330,Commercial,"Alicante St, Dist. 2",96.0,161.0,96.0,161.0,65,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501260,Residential,"Alicante St, Dist. 4",294.0,337.0,294.0,337.0,43,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501330,Commercial,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,501167,Residential,"Alicante St, Dist. 2",1336.0,1349.0,1336.0,1349.0,13,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500740,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,500278,Residential,"Alicante St, Dist. 2",1947.0,1965.0,1947.0,1965.0,18,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500861,Residential,"Alicante St, Dist. 4",2241.0,2253.0,2241.0,2253.0,12,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,501021,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,500254,Residential,"Alicante St, Dist. 2",1806.0,1806.0,1806.0,1806.0,0,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501301,Residential,"Alicante St, Dist. 2",968.0,985.0,968.0,985.0,17,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501048,Residential,"Alicante St, Dist. 2",647.0,676.0,647.0,676.0,29,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500095,Residential,"Alicante St, Dist. 4",1360.0,1366.0,1360.0,1366.0,6,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501176,Residential,"Alicante St, Dist. 2",1797.0,1828.0,1797.0,1828.0,31,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500045,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,500405,Residential,"Alicante St, Dist. 2",1600.0,1605.0,1600.0,1605.0,5,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500380,Residential,"Alicante St, Dist. 2",1093.0,1099.0,1093.0,1099.0,6,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501329,Residential,"Alicante St, Dist. 2",314.0,330.0,314.0,330.0,16,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500377,Residential,"Alicante St, Dist. 2",287.0,299.0,287.0,299.0,12,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501522,Residential,"Alicante St, Dist. 2",200.0,209.0,200.0,209.0,9,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500251,Residential,"Alicante St, Dist. 2",1087.0,1125.0,1087.0,1125.0,38,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500014,Residential,"Alicante St, Dist. 4",3786.0,3817.0,3786.0,3817.0,31,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500262,Residential,"Alicante St, Dist. 2",2755.0,2768.0,2755.0,2768.0,13,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501676,Residential,"Alicante St, Dist. 2",80.0,96.0,80.0,96.0,16,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500696,Residential,"Alicante St, Dist. 2",478.0,505.0,478.0,505.0,27,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500015,Residential,"Alicante St, Dist. 4",1541.0,1554.0,1541.0,1554.0,13,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500249,Residential,"Alicante St, Dist. 2",1768.0,1774.0,1768.0,1774.0,6,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,501129,Residential,"Alicante St, Dist. 1",445.0,473.0,445.0,473.0,28,Corrected,Active
JUL,2020,Q3,District 2,Esparrago Street,500261,Residential,"Esparrago St, Dist. 2",,,,,0,Corrected,Unknown
JUL,2020,Q3,District 4,Alicante Street,500012,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,501411,Residential,"Alicante St, Dist. 2",32.0,32.0,32.0,32.0,0,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,500523,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,501024,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Alicante Street,500316,Residential,"Alicante St, Dist. 3",3713.0,3734.0,3713.0,3734.0,21,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500987,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Unknown
JUL,2020,Q3,District 1,Alicante Street,500357,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 1,Alicante Street,501105,Residential,"Alicante St, Dist. 1",289.0,301.0,289.0,301.0,12,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500985,Residential,"Alicante St, Dist. 2",864.0,866.0,864.0,866.0,2,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501379,Residential,"Alicante St, Dist. 4",387.0,,387.0,387.0,0,Corrected,Defect
JUL,2020,Q3,District 2,Alicante Street,500340,Residential,"Alicante St, Dist. 2",3419.0,3467.0,3419.0,3467.0,48,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500552,Residential,"Alicante St, Dist. 3",3472.0,3490.0,3472.0,3490.0,18,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500264,Residential,"Alicante St, Dist. 2",1848.0,,1848.0,1848.0,0,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500905,Residential,"Alicante St, Dist. 2",2581.0,,2581.0,2581.0,0,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500146,Residential,"Alicante St, Dist. 3",5698.0,5724.0,5698.0,5724.0,26,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500563,Residential,"Alicante St, Dist. 2",2548.0,2555.0,2548.0,2555.0,7,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500564,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,501558,Commercial,"Alicante St, Dist. 2",2.0,2.0,2.0,2.0,0,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501690,Residential,"Alicante St, Dist. 2",129.0,142.0,129.0,142.0,13,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501332,Residential,"Alicante St, Dist. 2",1391.0,1439.0,1391.0,1439.0,48,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500711,Residential,"Alicante St, Dist. 2",885.0,889.0,885.0,889.0,4,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,501025,Residential,"Alicante St, Dist. 1",308.0,325.0,308.0,325.0,17,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501023,Residential,"Alicante St, Dist. 4",55.0,61.0,55.0,61.0,6,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501289,Residential,"Alicante St, Dist. 2",1615.0,1634.0,1615.0,1634.0,19,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500461,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 2,Alicante Street,500623,Residential,"Alicante St, Dist. 2",252.0,271.0,252.0,271.0,19,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500008,Residential,"Alicante St, Dist. 2",1765.0,1774.0,1765.0,1774.0,9,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500760,Residential,"Alicante St, Dist. 3",156.0,163.0,156.0,163.0,7,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501306,Residential,"Alicante St, Dist. 2",1119.0,1130.0,1119.0,1130.0,11,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501613,Residential,"Alicante St, Dist. 2",528.0,556.0,528.0,556.0,28,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,501518,Commercial,"Alicante St, Dist. 3",456.0,457.0,456.0,457.0,1,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501128,Residential,"Alicante St, Dist. 2",478.0,478.0,478.0,478.0,0,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500010,Residential,"Alicante St, Dist. 4",95.0,102.0,95.0,102.0,7,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500907,Commercial,"Alicante St, Dist. 2",2009.0,2020.0,2009.0,2020.0,11,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500910,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 4,Alicante Street,500178,Residential,"Alicante St, Dist. 4",9236.0,9283.0,9236.0,9283.0,47,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500559,Residential,"Alicante St, Dist. 4",130.0,139.0,130.0,139.0,9,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500284,Commercial,"Alicante St, Dist. 2",17687.0,17812.0,17687.0,17812.0,125,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500378,Residential,"Alicante St, Dist. 2",,56.0,56.0,56.0,0,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500717,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Alicante Street,500013,Residential,"Alicante St, Dist. 3",3859.0,3878.0,3859.0,3878.0,19,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500794,Residential,"Alicante St, Dist. 4",427.0,453.0,427.0,453.0,26,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500408,Residential,"Alicante St, Dist. 2",5501.0,5509.0,5501.0,5509.0,8,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500973,Commercial,"Alicante St, Dist. 2",179.0,181.0,179.0,181.0,2,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500475,Residential,"Alicante St, Dist. 2",641.0,685.0,641.0,685.0,44,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500986,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Unknown
JUL,2020,Q3,District 2,Alicante Street,501344,Residential,"Alicante St, Dist. 2",187.0,199.0,187.0,199.0,12,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500250,Residential,"Alicante St, Dist. 2",512.0,541.0,512.0,541.0,29,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500789,Residential,"Alicante St, Dist. 3",660.0,689.0,660.0,689.0,29,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500978,Residential,"Alicante St, Dist. 2",1733.0,1747.0,1733.0,1747.0,14,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501620,Residential,"Alicante St, Dist. 2",181.0,193.0,181.0,193.0,12,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500650,Residential,"Alicante St, Dist. 3",2597.0,2617.0,2597.0,2617.0,20,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500980,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Unknown
JUL,2020,Q3,District 2,Alicante Street,501481,Residential,"Alicante St, Dist. 2",645.0,666.0,645.0,666.0,21,Corrected,Active
JUL,2020,Q3,District 1,Alicante Street,500271,Residential,"Alicante St, Dist. 1",,,,,0,Corrected,Unknown
JUL,2020,Q3,District 4,Alicante Street,500093,Residential,"Alicante St, Dist. 4",1856.0,1872.0,1856.0,1872.0,16,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500839,Residential,"Alicante St, Dist. 3",4052.0,4112.0,4052.0,4112.0,60,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,501088,Residential,"Alicante St, Dist. 3",1784.0,1799.0,1784.0,1799.0,15,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500265,Residential,"Alicante St, Dist. 2",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 4,Alicante Street,500241,Residential,"Alicante St, Dist. 4",3446.0,3485.0,3446.0,3485.0,39,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500270,Residential,"Alicante St, Dist. 2",577.0,594.0,577.0,594.0,17,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,501425,Residential,"Alicante St, Dist. 3",711.0,730.0,711.0,730.0,19,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500011,Residential,"Alicante St, Dist. 2",2106.0,2119.0,2106.0,2119.0,13,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500723,Residential,"Alicante St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 4,Alicante Street,500487,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 4,Alicante Street,500203,Residential,"Alicante St, Dist. 4",1364.0,1364.0,1364.0,1364.0,0,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500941,Commercial,"Alicante St, Dist. 4",207.0,224.0,207.0,224.0,17,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500584,Residential,"Alicante St, Dist. 4",3254.0,3268.0,3254.0,3268.0,14,Corrected,Active
JUL,2020,Q3,District 3,Alicante Street,500368,Residential,"Alicante St, Dist. 3",3652.0,3667.0,3652.0,3667.0,15,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500381,Residential,"Alicante St, Dist. 2",6976.0,7003.0,6976.0,7003.0,27,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500911,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 1,Alicante Street,500356,Residential,"Alicante St, Dist. 1",1071.0,1077.0,1071.0,1077.0,6,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500170,Residential,"Alicante St, Dist. 4",3449.0,3486.0,3449.0,3486.0,37,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500633,Residential,"Alicante St, Dist. 4",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 4,Alicante Street,501428,Residential,"Alicante St, Dist. 4",864.0,883.0,864.0,883.0,19,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500726,Residential,"Alicante St, Dist. 2",546.0,584.0,546.0,584.0,38,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,500984,Commercial,"Alicante St, Dist. 2",426.0,460.0,426.0,460.0,34,Corrected,Active
JUL,2020,Q3,District 2,Alicante Street,501291,Residential,"Alicante St, Dist. 2",831.0,857.0,831.0,857.0,26,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500399,Residential,"Alicante St, Dist. 4",2518.0,2518.0,2518.0,2518.0,0,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501324,Commercial,"Alicante St, Dist. 4",409.0,415.0,409.0,415.0,6,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,501219,Residential,"Alicante St, Dist. 4",880.0,885.0,880.0,885.0,5,Corrected,Active
JUL,2020,Q3,District 4,Alicante Street,500056,Residential,"Alicante St, Dist. 4",3319.0,3337.0,3319.0,3337.0,18,Corrected,Active
JUL,2020,Q3,District 3,Almonte Street,500683,Residential,"Almonte St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Almonte Street,501177,Residential,"Almonte St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Almonte Street,500815,Residential,"Almonte St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Almonte Street,501218,Commercial,"Almonte St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Almonte Street,501067,Residential,"Almonte St, Dist. 3",,21.0,21.0,21.0,0,Corrected,Active
JUL,2020,Q3,District 3,Almonte Street,500983,Residential,"Almonte St, Dist. 3",7949.0,7960.0,7949.0,7960.0,11,Corrected,Active
JUL,2020,Q3,District 3,Almonte Street,500988,Residential,"Almonte St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Almonte Street,501294,Residential,"Almonte St, Dist. 3",,,,,0,Corrected,Unknown
JUL,2020,Q3,District 3,Almonte Street,500082,Residential,"Almonte St, Dist. 3",7676.0,7861.0,7676.0,7861.0,185,Corrected,Active
JUL,2020,Q3,District 3,Almonte Street,501450,Industrial,"Almonte St, Dist. 3",7015.0,7238.0,7015.0,7238.0,223,Corrected,Active
JUL,2020,Q3,District 3,Almonte Street,501285,Commercial,"Almonte St, Dist. 3",1315.0,1383.0,1315.0,1383.0,68,Corrected,Active
JUL,2020,Q3,District 1,Almonte Street,500832,Commercial,"Almonte St, Dist. 1",,78.0,78.0,78.0,0,Corrected,Active
JUL,2020,Q3,District 3,Almonte Street,501529,Residential,"Almonte St, Dist. 3",969.0,979.0,969.0,979.0,10,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500118,Residential,"Altarejos St, Dist. 3",6382.0,6409.0,6382.0,6409.0,27,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501241,Residential,"Altarejos St, Dist. 3",1647.0,1656.0,1647.0,1656.0,9,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500072,Residential,"Altarejos St, Dist. 3",2143.0,2143.0,2143.0,2143.0,0,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500810,Commercial,"Altarejos St, Dist. 3",232.0,246.0,232.0,246.0,14,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501534,Residential,"Altarejos St, Dist. 3",19.0,21.0,19.0,21.0,2,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500447,Residential,"Altarejos St, Dist. 3",6381.0,6405.0,6381.0,6405.0,24,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500809,Residential,"Altarejos St, Dist. 3",1548.0,1557.0,1548.0,1557.0,9,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500483,Residential,"Altarejos St, Dist. 3",736.0,742.0,736.0,742.0,6,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500443,Residential,"Altarejos St, Dist. 3",2343.0,2343.0,2343.0,2343.0,0,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501474,Residential,"Altarejos St, Dist. 3",505.0,517.0,505.0,517.0,12,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500215,Residential,"Altarejos St, Dist. 3",161.0,172.0,161.0,172.0,11,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500043,Residential,"Altarejos St, Dist. 3",1964.0,1966.0,1964.0,1966.0,2,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501645,Residential,"Altarejos St, Dist. 3",106.0,145.0,106.0,145.0,39,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500149,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Altarejos Street,500741,Residential,"Altarejos St, Dist. 3",1065.0,1093.0,1065.0,1093.0,28,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501026,Residential,"Altarejos St, Dist. 3",402.0,434.0,402.0,434.0,32,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500164,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Altarejos Street,501216,Residential,"Altarejos St, Dist. 3",1458.0,1481.0,1458.0,1481.0,23,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500836,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Altarejos Street,501661,Residential,"Altarejos St, Dist. 3",24.0,27.0,24.0,27.0,3,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500258,Residential,"Altarejos St, Dist. 3",945.0,978.0,945.0,978.0,33,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500824,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Altarejos Street,501494,Industrial,"Altarejos St, Dist. 3",2674.0,2695.0,2674.0,2695.0,21,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500551,Residential,"Altarejos St, Dist. 3",7165.0,7232.0,7165.0,7232.0,67,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501487,Residential,"Altarejos St, Dist. 3",3653.0,3725.0,3653.0,3725.0,72,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500205,Residential,"Altarejos St, Dist. 3",2190.0,2193.0,2190.0,2193.0,3,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500595,Residential,"Altarejos St, Dist. 3",2009.0,2023.0,2009.0,2023.0,14,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501027,Residential,"Altarejos St, Dist. 3",973.0,987.0,973.0,987.0,14,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500158,Commercial,"Altarejos St, Dist. 3",469.0,469.0,469.0,469.0,0,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500071,Industrial,"Altarejos St, Dist. 3",16672.0,16762.0,16672.0,16762.0,90,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501415,Residential,"Altarejos St, Dist. 3",199.0,201.0,199.0,201.0,2,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500204,Commercial,"Altarejos St, Dist. 3",254.0,275.0,254.0,275.0,21,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501419,Residential,"Altarejos St, Dist. 3",1505.0,1558.0,1505.0,1558.0,53,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500200,Residential,"Altarejos St, Dist. 3",2364.0,2375.0,2364.0,2375.0,11,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500888,Residential,"Altarejos St, Dist. 3",984.0,984.0,984.0,984.0,0,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501165,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Altarejos Street,500719,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Altarejos Street,500144,Residential,"Altarejos St, Dist. 3",716.0,746.0,716.0,746.0,30,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,501077,Residential,"Altarejos St, Dist. 3",1027.0,1052.0,1027.0,1052.0,25,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500156,Residential,"Altarejos St, Dist. 3",3049.0,3072.0,3049.0,3072.0,23,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500805,Commercial,"Altarejos St, Dist. 3",3369.0,3369.0,3369.0,3369.0,0,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500652,Residential,"Altarejos St, Dist. 3",4069.0,4102.0,4069.0,4102.0,33,Corrected,Active
JUL,2020,Q3,District 3,Altarejos Street,500948,Residential,"Altarejos St, Dist. 3",,,,,0,Corrected,Disconnected
JUL,2020,Q3,District 3,Altarejos Street,500933,Residential,"Altarejos St, Dist. 3",2995.0,3014.0,2995.0,3014.0,19,Corrected,Active
